ID,Тип,Артикул,"GTIN, UPC, EAN или ISBN",Имя,Опубликован,Рекомендуемый?,Видимость в каталоге,Краткое описание,Описание,Дата начала действия скидки,Дата окончания действия скидки,Статус налога,Налоговый класс,Наличие,Запасы,Величина малых запасов,Возможен ли предзаказ?,Продано индивидуально?,Вес (кг),Длина (см),Ширина (см),Высота (см),Разрешить отзывы от клиентов?,Примечание к покупке,Акционная цена,Базовая цена,Категории,Метки,Класс доставки,Изображения,Лимит скачивания,Дней срока скачивания,Родительский,Сгруппированные товары,Апсэлы,Кросселы,Внешний URL,Текст кнопки,Позиция,Бренды,Мета: _eael_post_view_count,Название атрибута 1,Значения атрибутов 1,Видимость атрибута 1,Глобальный атрибут 1,Мета: _uwp_source_url,Мета: _uwp_content_hash
,simple,,,к-т Bluefilters (8шт),1,0,visible,<ul><li>8 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,60000,90000,,,,https://habarovsk.vagner-ural.ru/media/product/2024/11/14/imgonline-com-ua-Resize-PBY4z5ZxnXt20G.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/k-t-bluefilters-8sht/,4e731b508b853f0953845f18ab563212
,simple,,,к-т Aura Cebilon (3шт),1,0,visible,<ul><li>3 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,29000,43500,,,,https://habarovsk.vagner-ural.ru/media/product/2024/11/14/imgonline-com-ua-Resize-5M6cv1e0xuilTl.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/k-t-aura-cebilon-3sht/,6565257d2edf35b3d1b4a59a7dfd0829
,simple,,,к-т Aura Cebilon (6шт),1,0,visible,<ul><li>6 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,47000,70500,,,,https://habarovsk.vagner-ural.ru/media/product/2024/11/14/85529590693918.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/k-t-aura-cebilon-6sht/,ee68d09259d8da6eb4379e7f3271fe80
,simple,,,Картридж Liberty RO-400,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,34000,51000,,,,https://habarovsk.vagner-ural.ru/media/product/2026/03/27/75885751.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/kartridzh-liberty-ro-400/,6cd310ee9da8d3a4dc0547898910bf5f
,simple,,,Картридж Liberty M,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,23000,34500,,,,https://habarovsk.vagner-ural.ru/media/product/2026/03/27/75201992.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/kartridzh-liberty-m/,2d301fe73b78c6c09dab6b9deb0d2bd9
,simple,,,Картридж Liberty 2шт.,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,55000,82500,,,,https://habarovsk.vagner-ural.ru/media/product/2026/03/27/75201778.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/kartridzh-liberty-2sht/,7089aa66153c8d467d98d281511347dc
,simple,,,Постфильтр Aquasoft T-33,1,0,visible,<ul><li>1 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,5000,7500,,,,https://habarovsk.vagner-ural.ru/media/product/2026/06/17/photo_2026-06-17_09-18-55.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/postfiltr-aquasoft-t-33/,29aa8fa32ba44a4b550f8c2f4d92f91c
,simple,,,Минерализатор T-33-2,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,6000,9000,,,,https://habarovsk.vagner-ural.ru/media/product/2024/09/22/Fluxtek_Mineralizator_Aktivator_Yellow-1.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/mineralizator-t-33-2/,9b3e5e5861a83afd0343e47ef3e5907d
,simple,,,UF Картридж,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,7000,10500,,,,https://habarovsk.vagner-ural.ru/media/product/2024/09/22/04031.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/uf-kartridzh/,1549aa9f3f4d78396de5321704cc4358
,simple,,,Alkaline (щелочной),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,7000,10500,,,,https://habarovsk.vagner-ural.ru/media/product/2024/09/22/6681820924.webp,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/alkaline-shelochnoj/,48aa4334933699b2f6598d2809e6c04b
,simple,,,к-т Аквафор Марион (К5-К2),1,0,visible,<ul><li>2 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,17400,26100,,,,https://habarovsk.vagner-ural.ru/media/product/2025/08/14/1.png,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/k-t-marion-k5-k2/,bb2d0fd8d1ddb936634c706eb49bc574
,simple,,,к-т Марион (К5-К2-К7M),1,0,visible,<ul><li>3 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,25000,37500,,,,https://habarovsk.vagner-ural.ru/media/product/2025/08/14/2.png,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/k-t-marion-k5-k2-k7m/,925afc0bca31708ac92683447c46980d
,simple,,,к-т Марион (К5-К2-KO50S),1,0,visible,<ul><li>3 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,40000,60000,,,,https://habarovsk.vagner-ural.ru/media/product/2025/08/14/3.png,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/k-t-marion-k5-k2-ko50s/,7efce561cc357bac399380e3eeedb1e1
,simple,,,к-т Марион (К5-К2-KO50S-K7M),1,0,visible,<ul><li>4 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,50300,75450,,,,https://habarovsk.vagner-ural.ru/media/product/2025/08/15/4.png,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/kt-marion-k5-k2-ko50s-k7m/,703ac94945d962610d7f26a0509ddc9c
